,Season,Pos,%2PA,%0-3A,%3-10A,%10-16A,%16-3ptA,%3PA,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,MPG
6599,18,1,0.555,0.271,0.08800000000000001,0.079,0.117,0.445,0.501,0.552,0.452,0.429,0.473,0.361,36.57534246575342
6600,19,1,0.581,0.297,0.073,0.078,0.132,0.419,0.499,0.564,0.35700000000000004,0.429,0.473,0.369,35.475
6601,20,1,0.507,0.3,0.077,0.061,0.069,0.493,0.518,0.607,0.27,0.423,0.488,0.394,36.89655172413793
6603,12,1,0.804,0.321,0.253,0.081,0.149,0.196,0.477,0.52,0.423,0.516,0.456,0.32,26.857142857142858
6604,13,1,0.713,0.333,0.175,0.049,0.156,0.287,0.483,0.635,0.318,0.227,0.421,0.339,32.19512195121951
6605,14,1,0.654,0.287,0.19,0.065,0.112,0.34600000000000003,0.4920000000000001,0.637,0.389,0.302,0.405,0.358,28.929577464788732
6606,15,1,0.731,0.278,0.14800000000000002,0.118,0.182,0.269,0.444,0.604,0.33,0.39,0.319,0.369,25.77027027027027
6607,16,2,0.69,0.305,0.13,0.08800000000000001,0.166,0.31,0.446,0.568,0.379,0.344,0.331,0.336,26.256410256410255
6608,17,1,0.61,0.235,0.153,0.098,0.125,0.39,0.48,0.5529999999999999,0.377,0.5379999999999999,0.42,0.3720000000000001,24.52777777777778
6609,18,1,0.833,0.5,0.083,0.083,0.16699999999999998,0.16699999999999998,0.4,0.5,0.0,0.0,0.5,0.5,25.0
6610,19,1,0.654,0.312,0.139,0.118,0.085,0.34600000000000003,0.517,0.604,0.4270000000000001,0.406,0.5,0.294,19.405405405405407
6611,19,1,0.6579999999999999,0.303,0.155,0.119,0.08,0.342,0.535,0.624,0.483,0.37,0.5479999999999999,0.333,19.666666666666668
6612,19,1,0.645,0.335,0.097,0.116,0.097,0.355,0.47,0.5579999999999999,0.2,0.5,0.4,0.2,18.82608695652174
6616,97,1,0.904,0.5720000000000001,0.162,0.096,0.07400000000000001,0.096,0.44,0.489,0.405,0.364,0.235,0.409,15.328125
6618,99,1,1.0,0.125,0.25,0.125,0.5,0.0,0.625,0.0,1.0,1.0,0.5,,22.0
6619,0,1,0.853,0.324,0.204,0.091,0.233,0.147,0.428,0.521,0.355,0.382,0.379,0.345,13.683544303797468
6621,2,1,0.852,0.333,0.185,0.13,0.204,0.14800000000000002,0.304,0.333,0.2,0.429,0.273,0.125,13.538461538461538
6623,4,1,0.7,0.1,0.3,0.1,0.2,0.3,0.28600000000000003,0.0,0.333,0.0,0.5,0.0,12.0
6624,5,1,0.846,0.231,0.135,0.192,0.28800000000000003,0.154,0.386,0.333,0.28600000000000003,0.5,0.4,0.625,13.352941176470589
6627,5,1,0.991,0.312,0.177,0.274,0.228,0.009000000000000001,0.418,0.478,0.342,0.373,0.449,0.0,27.133333333333333
6628,6,1,0.977,0.295,0.172,0.232,0.278,0.023,0.434,0.515,0.417,0.469,0.33,0.125,25.0
6629,7,1,0.964,0.241,0.165,0.334,0.225,0.036000000000000004,0.469,0.611,0.405,0.46,0.376,0.313,29.833333333333332
6630,9,1,1.0,0.217,0.15,0.45,0.183,0.0,0.517,0.6920000000000001,0.222,0.556,0.455,,19.25
6632,9,1,1.0,0.25,0.173,0.442,0.135,0.0,0.5379999999999999,0.6920000000000001,0.222,0.609,0.429,,23.75
6633,10,1,0.97,0.204,0.14400000000000002,0.328,0.294,0.03,0.5329999999999999,0.6829999999999999,0.517,0.485,0.4920000000000001,0.0,22.11111111111111
6634,10,1,0.875,0.25,0.125,0.313,0.188,0.125,0.35700000000000004,0.25,0.5,0.6,0.0,0.0,13.0
6635,10,1,0.978,0.2,0.146,0.33,0.303,0.022,0.547,0.73,0.519,0.475,0.518,0.0,25.615384615384617
6636,11,1,0.99,0.249,0.222,0.34,0.179,0.01,0.468,0.616,0.443,0.4370000000000001,0.35200000000000004,0.25,17.273972602739725
6637,12,2,0.989,0.247,0.214,0.406,0.122,0.011,0.466,0.642,0.448,0.4,0.364,0.667,18.82758620689655
6638,13,1,0.988,0.251,0.188,0.396,0.153,0.012,0.485,0.701,0.4,0.416,0.415,0.0,22.045454545454547
6639,13,1,0.955,0.16699999999999998,0.106,0.318,0.364,0.045,0.381,0.545,0.28600000000000003,0.333,0.375,0.0,18.823529411764707
6640,13,1,0.996,0.271,0.207,0.414,0.104,0.004,0.509,0.7240000000000001,0.414,0.431,0.448,0.0,23.163265306122447
6641,14,1,0.988,0.359,0.281,0.298,0.049,0.012,0.486,0.5660000000000001,0.467,0.448,0.25,0.16699999999999998,25.973684210526315
6642,15,1,0.995,0.27,0.237,0.417,0.071,0.005,0.503,0.701,0.362,0.461,0.464,0.0,18.82051282051282
6643,16,1,0.968,0.259,0.201,0.404,0.106,0.032,0.5479999999999999,0.7240000000000001,0.434,0.523,0.425,0.16699999999999998,19.487179487179485
6644,17,1,0.991,0.222,0.13,0.532,0.104,0.009000000000000001,0.55,0.7859999999999999,0.6829999999999999,0.458,0.364,0.333,17.69736842105263
6645,18,1,0.985,0.236,0.192,0.461,0.096,0.015,0.509,0.716,0.47,0.4370000000000001,0.424,0.0,15.901408450704226
6646,19,1,0.99,0.31,0.219,0.419,0.043,0.01,0.524,0.677,0.478,0.4320000000000001,0.556,0.0,15.109375
6653,2,4,1.0,0.5329999999999999,0.299,0.139,0.029,0.0,0.4920000000000001,0.615,0.384,0.324,0.14300000000000002,,15.698412698412698
6657,97,4,0.8290000000000001,0.389,0.116,0.145,0.17800000000000002,0.171,0.465,0.542,0.5,0.35,0.3670000000000001,0.362,17.93846153846154
6658,98,4,0.966,0.393,0.128,0.222,0.222,0.034,0.442,0.5870000000000001,0.4,0.192,0.462,0.0,18.475
6659,99,4,0.95,0.284,0.192,0.214,0.259,0.05,0.434,0.578,0.42,0.26,0.43,0.16699999999999998,27.6
6660,0,4,0.976,0.293,0.204,0.168,0.311,0.024,0.454,0.653,0.412,0.35700000000000004,0.34600000000000003,0.0,21.904761904761905
